| GSM855954 | 232587_at                   | 47.5      |
| GSM855955 | 232587_at                   | 17.6      |
| GSM855956 | 232587_at                   | 26.4      |
| GSM855958 | 232587_at                   | 23        |
| GSM855959 | 232587_at                   | 52.4      |
| GSM855960 | 232587_at                   | 7.9       |
| GSM855961 | 232587_at                   | 7.4       |
| GSM855962 | 232587_at                   | 15.9      |
| GSM855963 | 232587_at                   | 11.9      |
| GSM855964 | 232587_at                   | 19.6      |
| GSM855965 | 232587_at                   | 43.6      |
| GSM855942 | 232588_at                   | 38        |
| GSM855943 | 232588_at                   | 2.1       |
| GSM855944 | 232588_at                   | 21.4      |
| GSM855945 | 232588_at                   | 59.3      |
| GSM855947 | 232588_at                   | 12        |
| GSM855957 | 232588_at                   | 18.5      |
| GSM855966 | 232588_at                   | 50.9      |
| GSM855967 | 232588_at                   | 7.5       |
| GSM855968 | 232588_at                   | 13.8      |
| GSM855946 | 232588_at                   | 12.1      |
| GSM855948 | 232588_at                   | 8.8       |
| GSM855949 | 232588_at                   | 29.1      |
| GSM855950 | 232588_at                   | 8.2       |
| GSM855951 | 232588_at                   | 11.8      |
| GSM855952 | 232588_at                   | 13.9      |
| GSM855953 | 232588_at                   | 1.5       |
| GSM855954 | 232588_at                   | 38.4      |
| GSM855955 | 232588_at                   | 28.5      |
| GSM855956 | 232588_at                   | 18.2      |
| GSM855958 | 232588_at                   | 13.7      |
| GSM855959 | 232588_at                   | 65.9      |
| GSM855960 | 232588_at                   | 8         |
| GSM855961 | 232588_at                   | 8.8       |
| GSM855962 | 232588_at                   | 10.6      |
| GSM855963 | 232588_at                   | 8         |
| GSM855964 | 232588_at                   | 14        |
| GSM855965 | 232588_at                   | 23.9      |
| GSM855942 | 232589_at                   | 47.7      |
| GSM855943 | 232589_at                   | 49.8      |
| GSM855944 | 232589_at                   | 81.9      |
| GSM855945 | 232589_at                   | 60.8      |
| GSM855947 | 232589_at                   | 78.1      |
| GSM855957 | 232589_at                   | 100.3     |
| GSM855966 | 232589_at                   | 48.8      |
| GSM855967 | 232589_at                   | 46.9      |
| GSM855968 | 232589_at                   | 28.9      |
| GSM855946 | 232589_at                   | 48.5      |
| GSM855948 | 232589_at                   | 88.3      |
| GSM855949 | 232589_at                   | 47.5      |
| GSM855950 | 232589_at                   | 63.8      |
| GSM855951 | 232589_at                   | 127       |
| GSM855952 | 232589_at                   | 63.6      |
| GSM855953 | 232589_at                   | 64.4      |
| GSM855954 | 232589_at                   | 26        |
| GSM855955 | 232589_at                   | 47.1      |
| GSM855956 | 232589_at                   | 43.8      |
| GSM855958 | 232589_at                   | 40.5      |
| GSM855959 | 232589_at                   | 38.9      |
| GSM855960 | 232589_at                   | 45        |
| GSM855961 | 232589_at                   | 55.6      |
| GSM855962 | 232589_at                   | 84.2      |
| GSM855963 | 232589_at                   | 50.8      |
| GSM855964 | 232589_at                   | 56.8      |
| GSM855965 | 232589_at                   | 43.3      |
| GSM855942 | 232590_at                   | 17.3      |
| GSM855943 | 232590_at                   | 1.8       |
| GSM855944 | 232590_at                   | 13.2      |
| GSM855945 | 232590_at                   | 31.2      |
| GSM855947 | 232590_at                   | 14.2      |
| GSM855957 | 232590_at                   | 67.4      |
| GSM855966 | 232590_at                   | 20.3      |
| GSM855967 | 232590_at                   | 0.9       |
| GSM855968 | 232590_at                   | 27.9      |
| GSM855946 | 232590_at                   | 10.8      |
| GSM855948 | 232590_at                   | 28.9      |
| GSM855949 | 232590_at                   | 9.2       |
| GSM855950 | 232590_at                   | 45.8      |
| GSM855951 | 232590_at                   | 29.1      |
| GSM855952 | 232590_at                   | 18.9      |
| GSM855953 | 232590_at                   | 23.9      |
| GSM855954 | 232590_at                   | 3.2       |
| GSM855955 | 232590_at                   | 11.5      |
| GSM855956 | 232590_at                   | 15.2      |
| GSM855958 | 232590_at                   | 2.1       |
| GSM855959 | 232590_at                   | 11        |
| GSM855960 | 232590_at                   | 14.5      |
| GSM855961 | 232590_at                   | 1         |
| GSM855962 | 232590_at                   | 9         |
| GSM855963 | 232590_at                   | 29.5      |
| GSM855964 | 232590_at                   | 2.1       |
| GSM855965 | 232590_at                   | 1.8       |
| GSM855942 | 232591_s_at                 | 74        |
| GSM855943 | 232591_s_at                 | 55.2      |
| GSM855944 | 232591_s_at                 | 71.5      |
| GSM855945 | 232591_s_at                 | 32.6      |
| GSM855947 | 232591_s_at                 | 73.9      |
| GSM855957 | 232591_s_at                 | 29.7      |
| GSM855966 | 232591_s_at                 | 44.7      |
| GSM855967 | 232591_s_at                 | 114.6     |
| GSM855968 | 232591_s_at                 | 138.5     |
| GSM855946 | 232591_s_at                 | 69.6      |
| GSM855948 | 232591_s_at                 | 129.5     |
| GSM855949 | 232591_s_at                 | 98.9      |
| GSM855950 | 232591_s_at                 | 71.3      |
| GSM855951 | 232591_s_at                 | 48.2      |
| GSM855952 | 232591_s_at                 | 91.7      |
| GSM855953 | 232591_s_at                 | 61.3      |
| GSM855954 | 232591_s_at                 | 71.8      |
| GSM855955 | 232591_s_at                 | 75.7      |
| GSM855956 | 232591_s_at                 | 209.9     |
| GSM855958 | 232591_s_at                 | 110.8     |
| GSM855959 | 232591_s_at                 | 57.1      |
| GSM855960 | 232591_s_at                 | 58.6      |
| GSM855961 | 232591_s_at                 | 55        |
| GSM855962 | 232591_s_at                 | 92.6      |
| GSM855963 | 232591_s_at                 | 99.3      |
| GSM855964 | 232591_s_at                 | 129.8     |
| GSM855965 | 232591_s_at                 | 64.8      |
| GSM855942 | 232592_at                   | 68.3      |
| GSM855943 | 232592_at                   | 119.5     |
| GSM855944 | 232592_at                   | 41.2      |
| GSM855945 | 232592_at                   | 130       |
| GSM855947 | 232592_at                   | 35.3      |
| GSM855957 | 232592_at                   | 106.6     |
| GSM855966 | 232592_at                   | 263.6     |
| GSM855967 | 232592_at                   | 25.2      |
| GSM855968 | 232592_at                   | 34.8      |
| GSM855946 | 232592_at                   | 43.3      |
| GSM855948 | 232592_at                   | 76.8      |
| GSM855949 | 232592_at                   | 22.3      |
| GSM855950 | 232592_at                   | 52.3      |
| GSM855951 | 232592_at                   | 17        |
| GSM855952 | 232592_at                   | 79.2      |
| GSM855953 | 232592_at                   | 83.3      |
| GSM855954 | 232592_at                   | 118.9     |
| GSM855955 | 232592_at                   | 40        |
| GSM855956 | 232592_at                   | 50.7      |
